Salle;Adresse;Ville
"
3D Sport
";"

 en face hotel royal azur, Hammamet 
 +216 28 03 76 67 
 mednabilbenmansour@gmail.com 

";Nabeul
"
Abyss Dive Center Djerba
";"

 Plage Hotel Welcome Meridiana 
 +216 26 20 27 15 

";Médenine
"
Académie Avenir Souassi
";"

 Souassi 
 +216 98 95 38 36 

";Mahdia
"
Académie GHAZI AHMED des arts martiaux et sports de combat
";"

 Bou Merdès 
 +216 26 07 53 14 

";Mahdia
"
Académie Kahna de Football Monastir - AKFM
";"

 Monastir 
 +216 73 448 369 
 cpk@live.fr 

";Monastir
"
Academy GYM Kasserine
";"

 Avenue Habib Bourguiba 
 +216 25 12 00 24 
 ltifitaki@gmail.com 

";Kasserine
"
Accrogym
";"

 Rue d'alger près du service topographique du coté de SpringLand 
 +216 50 62 89 47 
 accrogym@yahoo.com 

";Monastir
"
acro gym
";"

 Passage Sleheddine Bouchoucha 
 +216 71 748 007 / 98 555 814 / 54 854 140 
 kidmania12@yahoo.fr 

";La Marsa
"
AD Fitness
";"

 Centre Golf Soukra - Boulevard de l'UMA -Bloc B - 2ème étage 
 +216 58 99 91 11 

";Ariana
"
Aecor Fitness
";"

 Cité les Orangers Khezema-Est 
 +216 92 020 002 
 info@aecorfitness.com 

";Sousse
"
Aèro-fitness club
";"

 Rte l'Afrane km4 
 +216 22 06 24 26 

";Sfax
"
AIKIDO GAZELEC SPORT
";"

 52 Rue Ibn Charaf, El Khadhra 
 +216 98 928 040 
 contact@tunisaikido.com 

";Tunis
