Salle;Adresse;Ville;Numéro de téléphone;Email
 Centre d'Athlétisme de Sidi Bouzid;Rue de l'environnement  ;Sidi Bouzid;+216 76 62 42 80 ;null
 K'danse; 7 boulevard du 14 janvier 2026 Sidi Bou Saïd ;La Marsa;+216 23 390 066 ;kdanse06@gmail.com
 Tennis Club du Kram;El Kram  ;Tunis;+216 98 69 36 93 ;tennis.club.kram@gmail.com
3D Sport;en face hotel royal azur, Hammamet ;Nabeul;+216 28 03 76 67 ;mednabilbenmansour@gmail.com
Abyss Dive Center Djerba;Plage Hotel Welcome Meridiana ;Médenine;+216 26 20 27 15 ;null
Académie Avenir Souassi;Souassi ;Mahdia;+216 98 95 38 36 ;null
Académie GHAZI AHMED des arts martiaux et sports de combat;Bou Merdès ;Mahdia;+216 26 07 53 14 ;null
Académie Kahna de Football Monastir - AKFM;Monastir ;Monastir;+216 73 448 369 ;cpk@live.fr
Academie Karaté Menzah 6;El Menzah 6 ;Ariana;+216 95 14 53 11 ;academiekarate@gmail.com
Academy GYM Kasserine;Avenue Habib Bourguiba ;Kasserine;+216 25 12 00 24 ;ltifitaki@gmail.com
Academy sportif sbikha;À côté du café Al Druj dans le centre ville Sabikha ;Kairouan;+216  93 09 35 03 ;null
Accrogym;Rue d'alger près du service topographique du coté de SpringLand ;Monastir;+216 50 62 89 47 ;accrogym@yahoo.com
acro gym;Passage Sleheddine Bouchoucha ;La Marsa;+216 71 748 007 / 98 555 814 / 54 854 140 ;kidmania12@yahoo.fr
AD Fitness;Centre Golf Soukra - Boulevard de l'UMA -Bloc B - 2ème étage ;Ariana;+216 58 99 91 11 ;null
Aecor Fitness;Cité les Orangers Khezema-Est ;Sousse;+216 92 020 002 ;info@aecorfitness.com
Aèro-fitness club;Rte l'Afrane km4 ;Sfax;+216 22 06 24 26 ;null
AHBEA El Alia;El Alia  ;Bizerte;+216 52 15 34 12 ;ahbea2017@gmail.com
AIKIDO GAZELEC SPORT;52 Rue Ibn Charaf, El Khadhra ;Tunis;+216 98 928 040 ;contact@tunisaikido.com
AÏKIDO SHODOKAN TUNISIE;Sophonisbe Club, Rue 2 Mars - Carthage Byrsa ;Tunis;+216 98 409 676 ;aikidoshodokantunisie@hotmail.fr
Aïkido Zan Shin Dojo M'saken;Msaken ;Sousse;+216 22 13 29 99 ;null
AK Dance;Carthage ;Tunis;+216 98 33 33 38 ;akdance.tn@gmail.com
Al Intilaka Sportif Borj El Amri;Borj El Amri ;Manouba;+216 29 90 41 21 ;null
Al Maali Sportif Sejnane;Sejnane ;Bizerte;+216 28 51 16 60 ;null
Al Wefak sportif de Gabés;Salle couverte, cité universitaire  ;Gabès;+216 20 71 44 41 ;null
Ali Arafa Academy de Boxe ;Cité Erriadh ;Sousse;+216 95 05 47 34 ;ali.arfa.tn@gmail.com
All Generation Football Academy - AGFA Tunisie;En face du parc d’attraction ;Soukra;+216 29 44 63 36 ;agfasoukra@gmail.com
Alpha Fitness;Route de Tunis près café Il Padrino ;Hammam sousse;+216 73 37 00 72 / 92 21 19 39 ;alphafitness@topnet.tn
Alpha Gym;Route Ezzahra-Radès ;Ben Arous;+216 22 40 40 33 ;alphagymezzahra@gmail.com
Amateur Taekwondo Association Monastir;Centre ville ;Monastir;+216 98 35 79 06 ;atamtaek@gmail.com
Aminos Djerba sub plongée;plage sidi bakour, zone touristique ;Médenine;+216 28 70 12 28 ;amine_manouchi@hotmail.com
Andalousia Art et sport;Riadh al Andalous derrière carrefour market ;Ariana;+216 21 31 14 31 ;null
Archimède Djerba - PADI Dive Resort;Plage Yati, Djerba Midoun ;Médenine;+216 53 45 11 14 ;contact@djerbaplongee.fr
Arena Football Académie;GP1 Rte Tunis Rond-point Meublatex prés de Zinifilm ;Hammam sousse;+216 31 500 602 ;arena.football.academy@live.fr
ARENA GYM;Colisée Soula - Esc d - 1 er étage - El Manar 2 ;Tunis;+216 71 88 96 58 / 58 88 38 83 ;contact@arena-gym.com
Artisto Club;Avenue Habib Bourguiba Rades  ;Ben Arous;+216 22 17 69 08 ;ayadi.olfa3101@gmail.com
ASEST L'Académie Sportive et Éducative des Sourds de Tunis;08 Rue d'Espagne ;Tunis;+216 25 65 93 09 ;academietn@gmail.com
Association Al-Andalus Budo et d'autodéfense;Kalaat El Andalous ;Ariana;+216 58 38 17 34 ;majdmzam@gmail.com
Association Amal Sportive Borj Louzir;Borj louzir ;Ariana;+216 52 76 81 95 ;associationamal.sportif2013@hotmail.com
Association Amor Boussaha de Boxe;Avenue de Palestine ;Gafsa;+216 97 79 21 09 ;null
Association Arts Martiaux Manaret Al Hammamet;Hammamet ;Nabeul;+216 58 68 92 48 ;null
Association Avenir Ariana;Borj Baccouch ;Ariana;+216 52 01 93 57 ;gharbi-abdallah@hotmail.com
Association Azmas;Ezzahra ;Ben Arous;+216 28 52 85 88 ;null
