Salle;Adresse;Numéro de téléphone;Email;Type
Corset minceur;ezzahra, ben arous;None;lahimerm@yahoo.fr;Salles de sport
Salles de sport en Tunisie ! Les meilleurs;Ajoutez votre Club de Sport ! Partagez les bon moments dans votre page du Club et Ajoutez votre description, vos meilleurs photos et vidéos;None;None;Salles de sport
Fityogaprof;El Menzah 1, 5 Rue du Jeune Foyer, Tunis, Gouvernorat de Tunis, Tunisie;31501792/53881113;fityogaprof@gmail.com;Salles de sport
RADO GYM;Résidence Diar El Manar, Rue des mères de Tunis, immeuble C, Manar 1;25 055 555 / 20 365 275;contact@radogym.com;Salles de sport
LADIES GYM;17 avenue ali belhouane la marsa, tunis;71 746 742 / 29 692 949;None;Salles de sport
Gym Box;71, avenue Mouawiya Ibn Abi Sofiene, Menzah 6, Ariana 2091;71 234 234;gymbox@info.fr;Salles de sport
California Gym Sousse;Centre commercial Tej Marhaba, Sousse;25 199 133;info@california-gym.com;Salles de sport
Olympysky Club;Boulevard du lac du nord les berges du lac 2 Tunis 1050;28 228 228 / 29 543 901;contact@olympysky.tn;Salles de sport
Aecor CF Box;58 Rue de l'Industrie Charguiya 1 Tunis;93 150 130;None;Salles de sport
Bodytec studio Tunis;Rue de l'euro immeuble Slim, 1053 lac 2 Tunis, Tunisie;20 697 801;bodytec.tn.studio@gmail.com;Salles de sport
DOCTOR GYM;60 Avenue de l'uma La soukra, Tunis, Tunisie;0021658408829;doctorgym.tn@gmail.com;Salles de sport
Forest Club Rades;Forêt Radès, Ben Arous;26 490 409 / 26 490 415;contact@forest-club.com.tn;Salles de sport
ARENA GYM;Colisée Soula, El Manar 2, Tunis;71 889 658 / 58 88 38 83;contact@arena-gym.com;Salles de sport
LADYDIDON;Rue Al Saoud, Manar 2, Tunis, 2092 Tunis;71 888 803 / 71887045;None;Salles de sport
HISTORY FITNESS;Lotissement les hirondelles Jardin de Carthage, Ain ZAGHOUAN;29 025 000 / 71 698 004;historyfitness@gnet.tn;Salles de sport
GOLD’S GYM;Gold's Gym Tunis, Rue 6603;54 178 234;goldsgymtunis@gmail.com;Salles de sport
Galaxy Gym;Rue Hassinette, Tunis, Tunisie;71 905 376 / 95 992 663;None;Salles de sport
Ladies first;104 Avenue Ibn khaldoun, Ariana;92 055 391;None;Salles de sport
CHALLENGE SPORTIF;13 Bis, Rue Hedi TOUZR,Omrane Superieur Tunis Tunisie;51 191 717 / 22 290 955 / 71 930 006;None;Salles de sport
JOYS sports club El Manzah 1;Cité Olympique d'EL MENZAH 1 Tunis;71 756 577 / 29 659 651;joys.sportsclub@yahoo.fr;Salles de sport
POWER FITNESS CLUB MANARET EL HAMMAMET;Manaret el Hammamet;55 722 767;None;Salles de sport
LAKE CLUB;Lake Club, Les Berges du Lac, Lac Dhaya, 1053 Tunis;71 655 320;lakeclub@topnet.tn;Salles de sport
BLUE FITNESS HAMMAMET;Avenue Hédi Chaker, Hammamet;72 263 258;Bluefitness.hammamet@hotmail.com;Salles de sport
MESSILLA FOOTBALL ET FITNESS;14 Route de Sousse, Ezzahra, Bena Arous;23 019 319 / 36 105 687;messillafootballacademy@gmail.com;Salles de sport
Calyfornia Gym Tunis Centre;12 Rue d’Iran (Angle rue d’Iran et Syrie), Centre Ville, Tunis;71 830 072;info@california-gym.com;Salles de sport
Anytime Fitness l’Aouina;L'Aouina, Soukra, Aryanah;24 990 909;None;Salles de sport
California Gym Cité Ennasr;32, rue Manoubi Bel Hassine, Ennasr II, Ariana;71 813 383;info@california-gym.com;Salles de sport
Oxygene Fitness;6 Rue Hannibal, Gammarth Superieur, La Marsa, Tunis;71 727 189 / 24 661 625;oxygene.fitness@planet.tn;Salles de sport
Tej Tonic;Rue de l'environnement , Gammarth;71 916 917 / 71 916 452;None;Salles de sport
ProfitClub Ariana;10 Rue Jebal Chàambi 1ér étage Ariana, 2080 Ariana;50 987 988 / 71 719 149;contact@profitclubtunisie.com;Salles de sport
JOYS sports club La Gazelle;Cité La Gazelle, Ariana, Gouvernorat de l'Ariana, Tunisie;71 756 577 / 29 659 651;joys.sportsclub@yahoo.fr;Salles de sport
Maximum Gym Nabeul;Rue tarek ibn zied, 8000 Nabeul , Tunisie;52 828 860;zrellihichem10@gmail.com;Salles de sport
Body fuel;Avenue khaled ibn el walid, les pins, 3045 El Aouina, tunis;54 782 288;None;Salles de sport
Evolution Fitness Club;Rue du sahel, Ben Arous, Tunisie;99 383 501;None;Salles de sport
California Gym Les Berges du Lac;Immeuble les 4R, Berges du Lac, Tunis;71 656 089;info@california-gym.com;Salles de sport
Bab Dida;2 rue Lamine Chabi, Cité Ennasr II Tunis;71 829 278 / 71 828 230;None;Salles de sport
Yes Fit Club;Route Menzel Chaker , Sfax;28 555 874;None;Salles de sport
COCO CLUB SPA;126 Avenue Jugurtha, Mutuelle ville, Tunis;71 845 120;None;Salles de sport
CALIFORNIA GYM LA MARSA;Avenue Taieb Mhiri , La Marsa;71 744 693;info@california-gym.com;Salles de sport
L’olympe Gym Sousse;Boulevard Taieb M'Hiri résidence L'Elysée (En face du café Taj Mahal) 4000 Sousse;73 226 146;None;Salles de sport
Miami Club Sfax;Complexe sportif Miami, Sidi Mansour Rd, Sfax 3094, Tunisie;26-413-350;info@miami-sport.com;Salles de sport
Fitness City ELmourouj 6;El Mourouj 6, 2074 Ben Arous;25 990 976;None;Salles de sport
California Gym (centre urbain nord);Urban Park, 8ieme étage, Centre Urbain Nord, Ariana 1080, Tunisie;+216 36 361 302;None;Salles de sport
Viking Gym Bardo;24 Rue Istanbul, Bardo 2000, Tunis;71 221 301;None;Salles de sport
Club Ere Nouvelle (El Ahd Eljadid);Route de Bizerte, cité ibn khaldoun;71 923 814 / 54 307 252;club.ere.nouvelle.tunisie@gmail.com;Salles de sport
Chams GYM Sfax;Route Soukra Km 3.5 a cotte de L'ENIS Sfax Cité el habib, Sfax 3052, Tunisie;22 383 884;None;Salles de sport
Oxygène Attitude;Menzel Bourguiba, Bizerte;53 736 374;None;Salles de sport
Fitness Royal Salem Sousse;Boulevard 14 janvier , Sousse;73 271 588;hroyal.salem@planet.tn;Salles de sport
Sidi-Bou GYM;Sidi Bou Saïd, Carthage, Gouvernorat de Tunis, Tunisie;55 630 288;None;Salles de sport
salle de sport;None;None;lahimer@gmail.com;Salles de sport
Ideal Sports Center Nabeul;ideal sport, Dar Chaâbane, Nabeul, Tunisie;29 222 428;idealsportscenter@topnet.tn;Salles de sport
Alpha Fitness Hammam Sousse;Route de Tunis, Hammam sousse, sousse, Tunisie;73 370 072 / 92 211 939 / 22 119 38;None;Salles de sport
