Salles;Adresse;Numéro de téléphone
3D FITNESS;15 Rue Ibn Rochd 2046 Sidi Daoud, Tunis;/71 777 348/25 367 551 / 98 367 551
AECOR FITNESS;Khézama Est 4051 Sousse Khézama, Sousse;/73 277 835/99 055 102 / 92 020 002
ALPHA FITNESS;rte de Tunis Immeuble Arbi Bel Hassine 4011 Hammam Sousse, Sousse;/92 211 938
ANAS PLUS;rte de Téniour Km 73000 Sfax, Sfax;/22 325 335
ANY TIME FITNESS;Avenue Mongi Slim résidence Narjess 2036 Soukra, Ariana;/24 990 909 / 25 990 911
ARENA GYM;Colisee Soula 2092 Manar II, Tunis;/71 889 658/58 883 883
ATHLETIC CLUB;Rue Okba Ibn Nafaâ 4011 Hammam Sousse, Sousse;/20 203 113
BAB DIDA AQUAGYM CENTER;2 Rue Lamine Chebbi 2001 Cité Ennasr, Ariana;/71 829 278/20 316 123
BB GYM;2 Avenue Mongi Slim l'Aouina 2045 Cité Taieb M'hiri, Tunis;/70 943 152/98 339 938
BLUE FITNESS;80 Avenue Hédi Chaker 8050 Hammamet, Nabeul;/72 263 258
BOBIO GYM;Avenue de l'Environnement 8000 Nabeul, Nabeul;/72 237 377/94 110 900
BODYROCK;3 Rue El Fouledh 2000 Bardo, Tunis;/71 663 161/53 101 562
BOXE CLUB;Rue Mohamed Bayrem El Khames 2046 Sidi Daoud, Tunis;/20 432 438
CALIFORNIA GYM;Avenue Emir Abdelkader El Bhira 7000 Bizerte, Bizerte;/72 530 129
CALIFORNIA GYM;Centre Urbain Nord 1082 Cité Mahrajène, Tunis;/36 361 302
CASA FITNESS;rte de Téniour Km 63000 Sfax, Sfax;/74 252 505
CHALLENGE SPORTIF;13 Rue Hédi Touzri 1091 Omrane Superieur, Tunis;/22 290 955 / 51 191 717
CITE NATIONALE SPORTIVE DES JEUNES;Cité Nationale Sportive 1004 Menzah, Tunis;/71 809 112 / 71 232 891
CLUB EXHALE;54 Avenue d'Afrique Menzah V 1004 Menzah, Tunis;/26 262 000
DIMA SPORT;Rue Ibn Arafa 8013 Maamoura, Nabeul;/22 931 742
DOCTOR GYM;60 Avenue de l'UMA 2036 Soukra, Ariana;/71 941 589/52 584 603
DOLPHINE CLUB;Avenue Habib Bourguiba 2045 Cité Taieb M'hiri, Tunis;/50 163 044 / 20 003 044
DOOR OF ART;Avenue Hédi Nouira 2080 Ariana, Ariana;/94 213 274 / 21 700 519
DUO CLUB;rte de Tunis Km 1 | 53000 Sfax, Sfax;/28 480 550
ENERGY;Avenue Habib Bourguiba Houmt Souk 4180 Djerba - MEDENINE, Médenine;/75 650 040/55 650 046
